,Date,2,5,3,4
383,2016-09-01,20.6384,20.5272,20.7969,20.4754
384,2016-09-02,20.5303,20.3806,20.5309,20.2396
385,2016-09-05,21.0474,20.3414,21.048000000000002,20.3328
386,2016-09-06,20.4491,20.1442,20.4496,20.1007
387,2016-09-07,20.3243,20.1223,20.4144,20.0313
388,2016-09-08,20.1709,19.6593,20.1715,19.6545
389,2016-09-09,19.8279,18.5998,19.8286,18.558
390,2016-09-12,19.8408,19.3116,20.0537,19.3068
391,2016-09-13,19.0013,17.548,19.002,17.3234
392,2016-09-14,17.5909,17.6299,17.8152,17.5534
393,2016-09-19,18.602999999999998,17.4464,18.6036,17.4274
394,2016-09-20,17.6369,17.0596,17.6944,17.000999999999998
395,2016-09-21,17.2176,17.3491,17.3508,16.9555
396,2016-09-22,17.4262,16.2644,17.5161,16.2639
397,2016-09-23,16.1651,15.8062,16.4295,15.8048
398,2016-09-26,16.4699,16.3029,16.5993,16.0181
399,2016-09-27,16.8776,16.4956,17.0138,16.3417
400,2016-09-28,16.5992,16.5863,16.6827,16.4512
401,2016-09-29,16.4998,15.4359,16.5004,15.4236
402,2016-09-30,15.5006,16.314,16.3268,15.489
403,2016-10-10,18.2939,16.7826,18.2945,16.7497
404,2016-10-11,16.9246,16.1265,16.9331,16.0984
405,2016-10-12,16.3064,16.0834,16.307000000000002,16.0581
406,2016-10-13,16.3064,15.7849,16.3071,15.7744
407,2016-10-14,15.9383,15.2128,15.9732,15.2128
408,2016-10-17,15.7636,14.8807,15.8598,14.8248
409,2016-10-18,15.0068,15.2401,15.2462,14.468
410,2016-10-19,15.5546,15.6402,15.7279,15.4424
411,2016-10-20,15.6988,15.1858,15.6994,15.1858
412,2016-10-21,15.2076,14.9743,15.3884,14.9348
413,2016-10-24,15.7053,15.9077,16.9364,15.5293
414,2016-10-25,16.1221,16.141,16.4766,15.9246
415,2016-10-26,16.2707,16.3676,16.7445,16.2707
416,2016-10-27,16.5805,15.974,16.5812,15.7526
417,2016-10-28,16.1493,16.111,16.7483,16.0355
418,2016-10-31,16.6682,16.1138,16.7807,16.0989
419,2016-11-01,16.3114,16.3494,16.4352,16.0852
420,2016-11-02,16.7656,16.6846,16.7785,16.3837
421,2016-11-03,16.7738,17.7364,18.2757,16.7738
422,2016-11-04,18.0156,17.8593,18.3415,17.8422
423,2016-11-07,18.4274,19.0097,19.3414,18.3631
424,2016-11-08,19.2742,18.5906,19.3792,18.5679
425,2016-11-09,18.7117,18.3662,19.7337,18.2258
426,2016-11-10,18.4155,17.0305,18.4561,16.9316
427,2016-11-11,16.7245,16.265,16.9355,16.1937
428,2016-11-14,16.7573,17.0003,17.3825,16.7497
429,2016-11-15,17.1633,16.9205,17.2744,16.893
430,2016-11-16,17.1433,16.5954,17.1526,16.587
431,2016-11-17,16.688,16.2409,16.7824,16.2343
432,2016-11-18,16.2506,15.8746,16.2512,14.254000000000001
433,2016-11-21,16.3066,15.6527,16.3484,15.6113
434,2016-11-22,15.9009,16.1402,16.2217,15.6532
435,2016-11-23,16.445,16.3503,16.8722,16.2755
436,2016-11-24,16.3363,16.1278,16.5996,16.0284
437,2016-11-25,16.6132,16.027,16.6838,15.9231
438,2016-11-28,14.6334,15.6215,16.0104,14.1557
439,2016-11-29,15.5099,14.8641,16.2645,13.7171
440,2016-11-30,16.5656,16.39,17.8367,16.3473
441,2016-12-01,16.3862,15.8339,17.0121,15.7667
442,2016-12-02,16.0139,16.2158,16.2165,15.8606
443,2016-12-05,17.3382,16.3239,17.3385,16.2377
444,2016-12-06,16.4542,15.6687,16.637,15.6154
445,2016-12-07,15.8152,15.1474,16.278,15.1474
446,2016-12-08,15.2788,14.1541,15.4474,14.0847
447,2016-12-09,14.3194,14.5525,15.137,13.6727
448,2016-12-12,15.0993,15.4366,15.6507,14.0198
449,2016-12-13,15.6174,15.4348,16.0981,15.3751
450,2016-12-14,15.5391,15.8476,15.8616,15.3315
451,2016-12-15,16.0663,17.1673,17.2399,14.8568
452,2016-12-16,17.9646,16.4831,18.3784,16.4387
453,2016-12-19,17.3899,16.9669,17.6032,16.6838
454,2016-12-20,17.2448,18.4206,18.4405,16.8512
455,2016-12-21,18.5535,17.3762,18.644000000000002,17.0799
456,2016-12-22,17.5344,17.6567,18.0217,17.2924
457,2016-12-23,17.7926,17.5146,17.8958,17.4286
458,2016-12-26,18.3044,17.6348,19.1492,17.5794
459,2016-12-27,17.8577,18.4145,18.4581,17.7232
460,2016-12-28,18.5361,18.2837,18.7352,18.2593
461,2016-12-29,18.1779,17.3442,18.1825,17.3141
462,2016-12-30,17.4812,17.2165,17.5524,17.0999
463,2017-01-03,17.8,15.8554,17.9963,15.6901
464,2017-01-04,15.9419,14.7427,16.0498,14.7238
465,2017-01-05,15.1977,14.7299,15.1984,14.5021
466,2017-01-06,14.8581,14.4866,14.8584,14.2517
467,2017-01-09,14.9723,14.1227,14.9902,14.1084
468,2017-01-10,14.2994,13.8339,14.3259,13.6847
469,2017-01-11,14.0377,13.7803,14.038,13.6013
470,2017-01-12,14.1061,13.7944,14.1865,13.7574
471,2017-01-13,13.9438,13.2886,13.9719,13.1148
472,2017-01-16,13.8223,13.3441,14.0383,12.8019
473,2017-01-17,13.5402,12.3195,13.5405,12.283
474,2017-01-18,12.4346,12.0667,12.5469,12.0582
475,2017-01-19,12.5827,12.082,12.5934,12.077
476,2017-01-20,12.2571,11.7042,12.2574,11.6356
477,2017-01-23,12.1578,11.6617,12.1581,11.6318
478,2017-01-24,11.9549,11.6302,12.0978,11.5066
479,2017-01-25,11.8176,11.4316,12.0373,11.4144
480,2017-01-26,11.5764,11.3168,12.1158,10.937999999999999
