,1,2,3,4,5
368,1470873600000,16.8536,17.2589,16.6457,16.801
369,1470960000000,16.9161,17.734,16.7904,17.691
370,1471219200000,17.5492,20.5032,17.4499,20.1911
371,1471305600000,21.4548,21.5647,19.2938,19.3581
372,1471392000000,19.6298,19.7996,19.2108,19.3437
373,1471478400000,19.5123,19.9469,19.3698,19.4756
374,1471564800000,19.3697,20.5731,19.3086,19.4476
375,1471824000000,20.0722,20.4842,19.6695,19.7288
376,1471910400000,19.7954,20.0182,19.3122,19.4184
377,1471996800000,19.7423,19.7431,19.3069,19.4684
378,1472083200000,19.7843,20.2135,19.7006,19.7053
379,1472169600000,20.0309,20.0317,19.4273,19.5985
380,1472428800000,20.3903,20.4163,20.1057,20.1185
381,1472515200000,20.1541,20.3563,19.9257,20.1023
382,1472601600000,20.4967,20.4971,20.1588,20.4689
383,1472688000000,20.6384,20.7969,20.4754,20.5272
384,1472774400000,20.5303,20.5309,20.2396,20.3806
385,1473033600000,21.0474,21.048000000000002,20.3328,20.3414
386,1473120000000,20.4491,20.4496,20.1007,20.1442
387,1473206400000,20.3243,20.4144,20.0313,20.1223
388,1473292800000,20.1709,20.1715,19.6545,19.6593
389,1473379200000,19.8279,19.8286,18.558,18.5998
390,1473638400000,19.8408,20.0537,19.3068,19.3116
391,1473724800000,19.0013,19.002,17.3234,17.548
392,1473811200000,17.5909,17.8152,17.5534,17.6299
393,1474243200000,18.602999999999998,18.6036,17.4274,17.4464
394,1474329600000,17.6369,17.6944,17.000999999999998,17.0596
395,1474416000000,17.2176,17.3508,16.9555,17.3491
396,1474502400000,17.4262,17.5161,16.2639,16.2644
397,1474588800000,16.1651,16.4295,15.8048,15.8062
398,1474848000000,16.4699,16.5993,16.0181,16.3029
399,1474934400000,16.8776,17.0138,16.3417,16.4956
400,1475020800000,16.5992,16.6827,16.4512,16.5863
401,1475107200000,16.4998,16.5004,15.4236,15.4359
402,1475193600000,15.5006,16.3268,15.489,16.314
403,1476057600000,18.2939,18.2945,16.7497,16.7826
404,1476144000000,16.9246,16.9331,16.0984,16.1265
405,1476230400000,16.3064,16.307000000000002,16.0581,16.0834
406,1476316800000,16.3064,16.3071,15.7744,15.7849
407,1476403200000,15.9383,15.9732,15.2128,15.2128
408,1476662400000,15.7636,15.8598,14.8248,14.8807
409,1476748800000,15.0068,15.2462,14.468,15.2401
410,1476835200000,15.5546,15.7279,15.4424,15.6402
411,1476921600000,15.6988,15.6994,15.1858,15.1858
412,1477008000000,15.2076,15.3884,14.9348,14.9743
413,1477267200000,15.7053,16.9364,15.5293,15.9077
414,1477353600000,16.1221,16.4766,15.9246,16.141
415,1477440000000,16.2707,16.7445,16.2707,16.3676
416,1477526400000,16.5805,16.5812,15.7526,15.974
417,1477612800000,16.1493,16.7483,16.0355,16.111
418,1477872000000,16.6682,16.7807,16.0989,16.1138
419,1477958400000,16.3114,16.4352,16.0852,16.3494
420,1478044800000,16.7656,16.7785,16.3837,16.6846
421,1478131200000,16.7738,18.2757,16.7738,17.7364
422,1478217600000,18.0156,18.3415,17.8422,17.8593
423,1478476800000,18.4274,19.3414,18.3631,19.0097
424,1478563200000,19.2742,19.3792,18.5679,18.5906
425,1478649600000,18.7117,19.7337,18.2258,18.3662
426,1478736000000,18.4155,18.4561,16.9316,17.0305
427,1478822400000,16.7245,16.9355,16.1937,16.265
428,1479081600000,16.7573,17.3825,16.7497,17.0003
429,1479168000000,17.1633,17.2744,16.893,16.9205
430,1479254400000,17.1433,17.1526,16.587,16.5954
431,1479340800000,16.688,16.7824,16.2343,16.2409
432,1479427200000,16.2506,16.2512,14.254000000000001,15.8746
433,1479686400000,16.3066,16.3484,15.6113,15.6527
434,1479772800000,15.9009,16.2217,15.6532,16.1402
435,1479859200000,16.445,16.8722,16.2755,16.3503
436,1479945600000,16.3363,16.5996,16.0284,16.1278
437,1480032000000,16.6132,16.6838,15.9231,16.027
438,1480291200000,14.6334,16.0104,14.1557,15.6215
439,1480377600000,15.5099,16.2645,13.7171,14.8641
440,1480464000000,16.5656,17.8367,16.3473,16.39
441,1480550400000,16.3862,17.0121,15.7667,15.8339
442,1480636800000,16.0139,16.2165,15.8606,16.2158
443,1480896000000,17.3382,17.3385,16.2377,16.3239
444,1480982400000,16.4542,16.637,15.6154,15.6687
445,1481068800000,15.8152,16.278,15.1474,15.1474
446,1481155200000,15.2788,15.4474,14.0847,14.1541
447,1481241600000,14.3194,15.137,13.6727,14.5525
448,1481500800000,15.0993,15.6507,14.0198,15.4366
449,1481587200000,15.6174,16.0981,15.3751,15.4348
450,1481673600000,15.5391,15.8616,15.3315,15.8476
451,1481760000000,16.0663,17.2399,14.8568,17.1673
452,1481846400000,17.9646,18.3784,16.4387,16.4831
453,1482105600000,17.3899,17.6032,16.6838,16.9669
454,1482192000000,17.2448,18.4405,16.8512,18.4206
455,1482278400000,18.5535,18.644000000000002,17.0799,17.3762
456,1482364800000,17.5344,18.0217,17.2924,17.6567
457,1482451200000,17.7926,17.8958,17.4286,17.5146
458,1482710400000,18.3044,19.1492,17.5794,17.6348
459,1482796800000,17.8577,18.4581,17.7232,18.4145
460,1482883200000,18.5361,18.7352,18.2593,18.2837
461,1482969600000,18.1779,18.1825,17.3141,17.3442
462,1483056000000,17.4812,17.5524,17.0999,17.2165
463,1483401600000,17.8,17.9963,15.6901,15.8554
464,1483488000000,15.9419,16.0498,14.7238,14.7427
465,1483574400000,15.1977,15.1984,14.5021,14.7299
466,1483660800000,14.8581,14.8584,14.2517,14.4866
467,1483920000000,14.9723,14.9902,14.1084,14.1227
468,1484006400000,14.2994,14.3259,13.6847,13.8339
469,1484092800000,14.0377,14.038,13.6013,13.7803
470,1484179200000,14.1061,14.1865,13.7574,13.7944
471,1484265600000,13.9438,13.9719,13.1148,13.2886
472,1484524800000,13.8223,14.0383,12.8019,13.3441
