,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2019/2/12,50ETF沽2018年5月2.45,认沽,2.45,2018/5/23 0:00,0.0001
2019/2/13,50ETF沽2018年5月2.45,认沽,2.45,2018/5/23 0:00,0.0001
2019/2/14,50ETF沽2018年5月2.45,认沽,2.45,2018/5/23 0:00,0.0001
2019/2/15,50ETF沽2018年5月2.45,认沽,2.45,2018/5/23 0:00,0.0001
2019/2/18,50ETF沽2018年5月2.45,认沽,2.45,2018/5/23 0:00,0.0001
2019/2/19,50ETF沽2018年5月2.45,认沽,2.45,2018/5/23 0:00,0.0001
2019/2/20,50ETF沽2018年5月2.45,认沽,2.45,2018/5/23 0:00,0.0001
2019/2/21,50ETF沽2018年5月2.45,认沽,2.45,2018/5/23 0:00,0.0001
2019/2/22,50ETF沽2018年5月2.45,认沽,2.45,2018/5/23 0:00,0.0001
2019/2/25,50ETF沽2018年5月2.45,认沽,2.45,2018/5/23 0:00,0.0001
2019/2/26,50ETF沽2018年5月2.45,认沽,2.45,2018/5/23 0:00,0.0001
2019/2/1,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/11,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/12,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/13,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/14,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/15,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/18,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/19,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/20,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/21,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/22,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/25,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/26,50ETF购2018年6月2.45,认购,2.45,2018/6/27 0:00,0.0026
2019/2/1,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/11,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/12,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/13,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/14,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/15,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/18,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/19,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/20,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/21,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/22,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/25,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/26,50ETF沽2018年6月2.45,认沽,2.45,2018/6/27 0:00,0.0001
2019/2/1,50ETF购2018年9月2.45,认购,2.45,2018/9/26 0:00,0.1865
2019/2/11,50ETF购2018年9月2.45,认购,2.45,2018/9/26 0:00,0.1865
2019/2/12,50ETF购2018年9月2.45,认购,2.45,2018/9/26 0:00,0.1865
